"gene_id","CONTROL.R1...raw.counts","CONTROL.R2...raw.counts","NAC8.R1...raw.counts","NAC8.R2...raw.counts"
"IS492_06660",2857,6524,3060,5656
"IS492_06665",629,1438,625,1166
"IS492_06670",67,61,56,29
"IS492_06675",24,140,25,123
"IS492_06680",254,1033,151,646
"IS492_06685",5893,14695,7739,12140
"IS492_06690",23687,52864,33188,60343
"IS492_06695",482,1825,708,2135
"IS492_06700",1950,4878,2107,5177
"IS492_06705",584,2028,790,2397
"IS492_06710",25484,66301,34924,79604
"IS492_06715",131,205,232,950
"IS492_06720",231,221,428,932
"IS492_06725",606,1667,517,1670
"IS492_06730",677,2060,809,2595
"IS492_06735",3219,10066,4363,10214
"IS492_06740",466,1441,470,1256
"IS492_06745",1469,3872,1885,4437
"IS492_06750",2876,8752,3283,8498
"IS492_06755",231,549,254,501
"IS492_06760",668,2186,1002,2094
"IS492_06765",530,1844,636,1559
"IS492_06770",376,1059,530,1027
"IS492_06775",1686,5844,1582,4694
"IS492_06780",4910,13180,4447,11925
"IS492_06790",15,22,12,36
"IS492_06795",297,800,375,800
"IS492_06800",824,1799,745,1406
"IS492_06805",952,2896,947,2660
"IS492_06810",1032,2309,1488,2886
"IS492_06815",577,1755,849,1539
"IS492_06820",224,960,308,628
"IS492_06825",390,1088,379,902
"IS492_06830",841,2441,824,2190
"IS492_06835",352,1086,368,989
"IS492_06840",1100,3453,1682,3726
"IS492_06845",342,1054,340,1165
"IS492_06850",257,574,212,489
"IS492_06855",373,828,314,707
"IS492_06860",211,571,174,559
"IS492_06865",774,1100,1637,1051
"IS492_06870",452,455,871,381
"IS492_06875",1260,1261,2222,1168
"IS492_06880",525,661,711,618
"IS492_06885",513,772,570,734
"IS492_06890",431,758,549,729
"IS492_06895",194,549,172,464
"IS492_06900",94,261,88,295
"IS492_06905",304,666,422,898
"IS492_06910",1954,7139,2524,6901
"IS492_06915",1813,5995,2156,5049
"IS492_06920",1541,4624,1983,5169
"IS492_06925",777,1528,822,1618
"IS492_06930",149,299,169,243
"IS492_06935",2,6,1,10
"IS492_06940",2833,9268,3869,8129
"IS492_06945",1023,2822,1754,3002
"IS492_06950",6991,15546,10740,19398
"IS492_06955",1182,3254,959,2730
"IS492_06960",660,1734,746,1733
"IS492_06965",374,792,387,916
"IS492_06970",244,339,115,319
"IS492_06975",2,1,2,3
"IS492_06980",14,51,12,32
"IS492_06985",2231,1512,2320,834
"IS492_06990",3,1,3,0
"IS492_06995",275,663,165,506
"IS492_07000",225,656,203,376
"IS492_07005",1203,2789,1126,2593
"IS492_07010",942,1889,1184,2046
"IS492_07015",1756,3814,2222,3851
"IS492_07020",6148,15754,10118,18445
"IS492_07025",467,1351,807,1221
"IS492_07030",556,2422,777,1691
"IS492_07035",180,429,80,309
"IS492_07040",105,308,81,237
"IS492_07045",73,267,96,243
"IS492_07050",15,89,24,62
"IS492_07055",422,1255,295,898
"IS492_07060",87,360,79,199
"IS492_07065",106,248,92,190
"IS492_07070",347,789,377,598
"IS492_07075",319,651,595,592
"IS492_07080",134,206,126,188
"IS492_07085",601,1268,641,1701
"IS492_07090",0,4,1,3
"IS492_07095",1087,2853,1410,2824
"IS492_07100",385,991,622,1080
"IS492_07105",6834,15480,9437,17284
"IS492_07110",1488,5976,1272,3637
"IS492_07115",64,204,38,113
"IS492_07120",115,254,109,276
"IS492_07570",104,215,102,208
"IS492_07575",177,410,181,353
"IS492_07580",145,299,126,234
"IS492_07585",0,5,1,3
"IS492_07590",252,680,307,697
"IS492_07595",250,702,310,820
"IS492_07600",2065,6501,2723,6350
"IS492_07605",7900,18203,10540,22951
"IS492_07610",1563,4301,1336,4405
"IS492_07615",6404,17221,7015,17747
"IS492_07620",984,2590,988,2872
"IS492_07625",212,450,129,359
"IS492_07630",89,239,85,206
"IS492_07635",926,2332,1137,2193
"IS492_07640",4878,20661,3967,18749
"IS492_07645",21,24,15,17
"IS492_07650",666,1877,479,1201
"IS492_07655",865,2586,1133,1990
"IS492_07660",1209,4557,1633,4342
"IS492_07665",2250,6088,2519,6074
"IS492_07670",3359,8221,4056,8525
"IS492_07675",705,1364,895,1374
"IS492_07680",292,727,216,435
"IS492_07685",185,593,206,399
"IS492_07690",449,1309,386,1002
"IS492_07695",7815,24806,11520,26945
"IS492_07700",1276,3357,1794,4161
"IS492_07705",1331,3490,1573,3971
"IS492_07710",1665,4112,1554,3630
"IS492_07715",298,679,398,767
"IS492_07720",287,591,362,810
"IS492_07725",1675,5074,2064,6144
"IS492_07730",332,1023,421,1165
"IS492_07735",283,768,389,1114
"IS492_07740",195,696,299,1079
"IS492_07745",136,468,170,642
"IS492_07750",14,34,24,42
"IS492_07755",466,1115,506,854
"IS492_07760",815,2252,1034,2633
"IS492_07765",396,1273,407,1237
"IS492_07770",44,107,43,90
"IS492_07775",481,1550,369,949
"IS492_07780",758,2657,701,1921
"IS492_07785",535,1756,661,1672
"IS492_07790",30191,59842,31467,65111
"IS492_07795",12,17,19,23
"IS492_07800",16,63,5,40
"IS492_07805",10,28,7,21
"IS492_07810",150,409,108,289
"IS492_07815",188,476,135,334
"IS492_07820",1379,3660,1343,3493
"IS492_07825",58,148,51,158
"IS492_07830",339,682,294,590
"IS492_07835",478,904,459,966
"IS492_07840",113,207,113,209
"IS492_07845",251,542,308,713
"IS492_07850",250,653,235,525
"IS492_07855",46,117,41,110
"IS492_07860",85,187,69,200
"IS492_07865",149,390,128,297
"IS492_07870",26,19,10,22
"IS492_07875",11,32,20,34
"IS492_07880",134,333,97,275
"IS492_07885",17,49,19,37
"IS492_07890",361,878,353,722
"IS492_07895",25,78,33,69
"IS492_07900",53,188,67,137
"IS492_07905",83,260,79,226
"IS492_07910",24,79,19,49
"IS492_07915",26,84,26,77
"IS492_07920",25,51,14,52
"IS492_07925",5,4,5,4
"IS492_07930",29,63,21,32
"IS492_07935",32,81,14,41
"IS492_07940",172,197,138,169
"IS492_07945",3937,8416,2946,7480
"IS492_07950",346,934,229,690
"IS492_07955",259,567,183,510
"IS492_07960",191,473,146,430
"IS492_07965",235,547,156,396
"IS492_07970",6,28,5,23
"IS492_07975",18,32,12,23
"IS492_07980",33,91,26,71
"IS492_07985",60,234,70,221
"IS492_07990",32,115,40,82
"IS492_07995",7,38,6,27
"IS492_08000",531,1234,552,1471
"IS492_08005",215,885,202,775
"IS492_08010",42,133,53,139
"IS492_08015",27,82,26,61
"IS492_08020",75,96,53,83
"IS492_08025",53,108,39,80
"IS492_08030",15,39,19,28
"IS492_08035",65,222,52,215
"IS492_08040",29,123,42,98
"IS492_08045",95,181,78,192
"IS492_08050",60,151,34,154
"IS492_08055",20,62,18,95
"IS492_08060",62,170,59,170
"IS492_08065",14,57,19,57
"IS492_08070",137,446,156,461
"IS492_08075",110,290,119,328
"IS492_08080",189,536,159,421
"IS492_08085",87,233,67,187
"IS492_08090",39,53,36,82
"IS492_08095",41,87,38,83
"IS492_08100",84,282,97,233
"IS492_08105",26,76,26,61
"IS492_08110",28,77,28,65
"IS492_08115",91,238,83,219
"IS492_08120",77,166,77,151
"IS492_08125",471,981,610,1128
"IS492_08130",1113,1885,1233,2237
"IS492_08135",822,1701,924,1939
"IS492_08140",238,570,166,411
"IS492_08145",446,1462,371,1031
"IS492_08150",371,2035,230,1284
"IS492_08155",93,243,98,198
"IS492_08160",13,25,12,14
"IS492_08165",11,44,11,33
"IS492_08170",138,316,148,316
"IS492_08175",98,303,124,308
"IS492_08180",40,93,36,88
"IS492_08185",56,129,53,125
"IS492_08190",24,63,8,55
"IS492_08195",101,292,108,206
"IS492_08200",106,299,96,263
"IS492_08205",355,727,338,780
"IS492_08210",16,42,14,31
"IS492_08215",67,175,101,168
"IS492_08220",133,425,171,358
"IS492_08225",14,52,18,54
"IS492_08230",11,30,19,23
"IS492_08235",27,76,18,73
"IS492_08240",35,118,49,140
"IS492_08245",12,15,15,28
"IS492_08250",92,165,125,176
"IS492_08255",118,321,108,278
"IS492_08260",7,12,11,20
"IS492_08265",7,57,12,55
"IS492_08270",22,80,27,85
"IS492_08275",17,54,34,65
"IS492_08280",10,48,12,34
"IS492_08285",14,42,12,40
"IS492_08290",18,57,16,46
"IS492_08295",27,41,9,38
"IS492_08300",2,3,3,5
"IS492_08305",419,940,528,956
"IS492_08310",41,81,47,71
"IS492_08315",570,1721,626,1883
"IS492_08320",1906,5612,2357,6263
"IS492_08325",105,251,124,278
"IS492_08330",582,1631,695,1895
"IS492_08335",562,1806,746,2130
"IS492_08340",339,417,317,429
"IS492_08345",497,1379,491,1312
"IS492_08350",730,1921,777,1896
"IS492_08355",205,639,212,682
"IS492_08360",229,559,171,469
"IS492_08365",916,2716,696,2288
"IS492_08370",1567,3835,1042,2673
"IS492_08375",5226,12626,4806,11368
"IS492_08380",1645,5451,1399,3769
"IS492_08385",3606,8453,3057,7178
"IS492_08390",140,392,116,307
"IS492_08395",2,12,3,8
"IS492_08400",498,1247,486,1118
"IS492_08405",7510,19195,6774,16886
"IS492_08410",155,457,135,384
"IS492_08415",437,1086,417,1073
"IS492_08420",99,369,123,284
"IS492_08425",821,2034,937,1398
"IS492_08430",120,236,157,251
"IS492_08435",521,1328,629,1345
"IS492_08440",290,605,371,604
"IS492_08445",187,388,184,342
"IS492_08450",1815,3628,3630,2532
"IS492_08455",502,821,744,699
"IS492_08460",164,476,119,304
"IS492_08465",408,1410,363,1266
"IS492_08470",358,975,338,896
"IS492_08475",276,703,291,692
"IS492_08480",113,255,89,264
"IS492_08485",1678,4342,1270,4090
"IS492_08490",832,2413,895,2494
"IS492_08495",599,1894,743,1969
"IS492_08500",372,1157,375,1031
"IS492_08505",478,1352,423,1168
"IS492_08510",633,1854,648,1650
"IS492_08515",251,494,276,481
"IS492_08520",513,1593,661,1413
"IS492_08525",344,793,281,628
"IS492_08530",212,733,287,717
"IS492_08535",379,1110,356,1066
"IS492_08540",808,2559,837,2338
"IS492_08545",1742,5123,1524,5170
"IS492_08550",2045,6989,1714,6205
"IS492_08555",3229,8179,2540,8375
"IS492_08560",501,1577,492,1453
"IS492_08565",1188,3255,1265,3425
"IS492_08570",293,817,292,870
"IS492_08575",1442,5413,1589,5208
"IS492_08580",300,1018,336,1012
"IS492_08585",244,705,258,819
"IS492_08590",358,886,382,849
"IS492_08595",307,750,367,743
"IS492_08600",190,447,232,499
"IS492_08605",3065,7372,4921,8692
"IS492_08610",1724,5650,2481,5242
"IS492_08615",279,715,336,700
"IS492_08620",1618,6409,1717,4174
"IS492_08625",961,2782,1500,2199
"IS492_08630",351,910,563,965
"IS492_08635",510,1168,706,1327
"IS492_08640",2148,4682,2294,4634
"IS492_08645",2001,5781,2309,5921
"IS492_08650",2102,4789,2272,5208
"IS492_08655",2273,6122,2292,6030
"IS492_08660",632,1845,628,1671
"IS492_08665",1473,3924,1562,3794
"IS492_08670",14,18,25,20
"IS492_08675",1018,891,1645,956
"IS492_08680",330,203,601,222
"IS492_08685",722,444,1106,506
"IS492_08690",535,512,656,488
"IS492_08695",485,1731,483,1695
"IS492_08700",9026,24392,9805,27051
"IS492_08705",9054,20901,9928,22979
"IS492_08710",6407,17000,7141,19069
"IS492_08715",1702,5363,1406,4145
"IS492_08720",2624,8929,3055,9089
"IS492_08725",2481,6856,2719,7020
"IS492_08730",770,2384,972,2320
"IS492_08735",1250,3583,1350,3508
"IS492_08740",2152,6336,1879,5214
"IS492_08745",1673,4178,1376,3606
"IS492_08750",942,2715,988,2468
"IS492_08755",1137,2622,1338,2771
"IS492_08760",3224,7313,3996,8061
"IS492_08765",684,1555,651,1605
"IS492_08770",282,998,204,713
"IS492_08775",3480,11512,3816,9139
"IS492_08780",1597,4780,2139,4394
"IS492_08785",1753,4946,2370,4745
"IS492_08790",1784,4530,2796,5355
"IS492_08795",629,1842,566,1438
"IS492_08800",366,977,435,966
"IS492_08805",462,1547,487,1308
"IS492_08810",516,969,646,695
"IS492_08815",3099,3573,6866,4581
"IS492_08820",966,2743,878,2764
"IS492_08825",437,1443,432,1332
"IS492_08830",2163,6106,2102,5086
"IS492_08835",233,1025,202,574
"IS492_08840",97,207,96,162
"IS492_08845",202,555,159,425
"IS492_08850",809,2238,670,1847
"IS492_08855",1004,2856,1140,2895
"IS492_08860",1848,6276,2441,4825
"IS492_08865",3538,11675,4827,9870
"IS492_08870",2127,8033,1902,6221
"IS492_08875",5350,20729,7337,19692
"IS492_08880",4758,13059,7078,15039
"IS492_08885",726,1829,1055,2061
"IS492_08890",729,1975,819,2193
"IS492_08895",1766,4701,2150,4991
"IS492_08900",1707,4370,1832,4117
"IS492_08905",430,1178,582,1360
"IS492_08910",2565,8484,2857,7162
"IS492_08915",1020,2848,1135,3499
"IS492_10380",342,1212,497,1105
"IS492_10385",84,352,92,223
"IS492_10390",33,123,23,76
"IS492_10395",230,653,291,650
"IS492_10400",325,692,379,757
"IS492_10405",12781,22671,12116,24014
"IS492_10410",306,827,549,1254
"IS492_10415",168,389,1501,4863
"IS492_10420",16925,34767,30938,37982
"IS492_10425",12540,25066,17681,30324
"IS492_10430",289,711,274,717
"IS492_10435",10,27,15,28
"IS492_10440",3,10,6,22
"IS492_10445",325,1120,340,939
"IS492_10450",617,1718,647,1562
"IS492_10455",75,226,82,163
"IS492_10460",1172,3797,1891,3516
"IS492_10465",105,245,168,227
"IS492_10470",494,681,613,907
"IS492_10475",1727,2573,2476,3170
"IS492_10480",1713,3029,2125,3483
"IS492_10485",5346,10741,7466,13696
"IS492_10490",4188,6803,5875,9386
"IS492_10495",2246,4780,2752,5456
"IS492_10500",392,702,174,486
"IS492_10505",163,320,232,468
"IS492_10510",660,2150,831,2029
"IS492_10515",32,71,30,42
"IS492_10520",356,699,620,654
"IS492_10525",270,396,565,516
"IS492_10530",539,849,908,1206
"IS492_10535",733,1157,781,1235
"IS492_10540",1329,2625,1209,2583
"IS492_10545",37,83,13,78
"IS492_10550",254,665,386,906
"IS492_10555",152,375,187,391
"IS492_10560",108,293,99,325
"IS492_10565",137,333,124,335
"IS492_10570",37,88,39,115
"IS492_10575",54,130,59,126
"IS492_10580",148,556,200,472
"IS492_10585",59,169,61,136
"IS492_10590",801,2561,914,2761
"IS492_10595",417,1151,367,1113
"IS492_10600",55,162,81,231
"IS492_10605",66,167,78,188
"IS492_10610",14,33,16,46
"IS492_10615",135,296,101,218
"IS492_10620",240,503,165,385
"IS492_10625",479,1267,400,1107
"IS492_10630",116,353,86,221
"IS492_10635",89,234,76,161
"IS492_10640",12,15,8,16
"IS492_10645",22,66,19,41
"IS492_10650",126729,1022156,143801,1108513
"IS492_10655",98,285,81,212
"IS492_10660",34,55,24,53
"IS492_10665",81,297,63,232
"IS492_10670",760,3212,785,3537
"IS492_10675",269,743,299,681
"IS492_10680",152,455,189,395
"IS492_10685",3738,8489,5101,8585
"IS492_10690",537,1883,426,1386
"IS492_10695",11130,38561,8257,33251
"IS492_10700",9380,29663,8385,28682
"IS492_10705",158,395,166,446
"IS492_10710",2107,4971,1465,4602
"IS492_10715",1661,5228,1554,4876
"IS492_10720",281,772,115,557
"IS492_10725",1889,4986,930,3918
"IS492_10730",180,621,130,459
"IS492_10735",105,280,96,251
"IS492_10740",138,251,123,226
"IS492_10745",63,194,44,132
"IS492_10750",250,712,171,477
"IS492_10755",351,921,290,746
"IS492_10760",255,688,215,606
"IS492_10765",113,323,522,1269
"IS492_10770",271,516,490,950
"IS492_10775",148,355,117,403
"IS492_10780",391,1258,354,954
"IS492_10785",197,536,296,652
"IS492_10790",4097,6591,5637,8090
"IS492_10795",9519,24723,12889,29260
"IS492_10800",94,283,87,239
"IS492_10805",2446,4299,2164,3792
"IS492_10810",2022,4735,2039,4453
"IS492_10815",623,1405,810,1326
"IS492_10820",369,1053,457,983
"IS492_10825",435,1290,448,1088
"IS492_10835",1363,3840,1397,4321
"IS492_10840",689,1790,860,2298
"IS492_10845",93,108,125,161
"IS492_10850",196,381,246,391
"IS492_10855",10424,26121,18078,36672
"IS492_10860",969,1859,1311,2188
"IS492_10865",434,767,514,899
"IS492_10870",629,1699,641,1967
"IS492_10875",1494,5004,1283,4021
"IS492_10880",35221,91671,36560,94898
"IS492_10885",11582,21608,13381,25387
"IS492_10890",17084,41892,23457,56499
"IS492_10895",633,1962,737,2344
"IS492_10900",151,287,132,255
"IS492_10905",101,239,98,247
"IS492_10910",562,1652,398,1272
"IS492_10915",296,884,262,932
"IS492_10920",194,242,222,401
"IS492_10925",298,608,366,726
"IS492_10930",68,139,56,141
"IS492_10935",169,353,165,436
"IS492_10940",133,293,190,316
"IS492_10945",116,213,129,231
"IS492_10950",99,224,92,243
"IS492_10955",40,71,38,82
"IS492_10960",85,178,66,165
"IS492_10965",11360,28081,12255,29543
"IS492_10970",2038,5186,1566,3231
"IS492_10975",514,1772,414,1004
"IS492_10980",525,1668,515,1158
"IS492_10985",865,2603,1069,2623
"IS492_10990",1016,2408,1097,2539
"IS492_10995",1163,2958,1234,3108
"IS492_11000",155,373,199,455
"IS492_11005",4964,14193,5065,12148
"IS492_11010",1705,5090,1859,4823
"IS492_11015",1885,5366,2160,5235
"IS492_11020",3013,8126,3380,7913
"IS492_11025",3627,8756,4194,9561
"IS492_11030",1049,2606,1216,2572
"IS492_11035",2176,5427,2424,5127
"IS492_11040",249,926,207,636
"IS492_11045",2822,9981,4863,8723
"IS492_11050",3210,9062,4659,10397
"IS492_11055",298,360,304,301
"IS492_11060",55,73,36,67
"IS492_11065",67,148,35,153
"IS492_11070",54,166,33,134
"IS492_11075",125,384,115,317
"IS492_11080",154,347,154,295
"IS492_11085",10,29,9,31
"IS492_11090",20,43,16,30
"IS492_11095",46,131,57,81
"IS492_11100",85,249,65,215
"IS492_11105",17,30,14,48
"IS492_11110",1395,3094,1416,2965
"IS492_11115",30,113,37,108
"IS492_11120",15,61,16,41
"IS492_11125",169,747,139,370
"IS492_11130",345,1107,346,1030
"IS492_11135",226,614,170,669
"IS492_11140",553,1670,701,1868
"IS492_11145",616,1549,666,1643
"IS492_11150",136,287,170,320
"IS492_11155",140,240,128,279
"IS492_11160",3,10,6,5
"IS492_11165",300,752,295,663
"IS492_11170",204,472,243,401
"IS492_11175",307,626,338,678
"IS492_11180",252,681,300,622
"IS492_11185",429,1587,543,1745
"IS492_11190",1087,3529,1348,3292
"IS492_11195",344,495,356,458
"IS492_11200",388,596,499,638
"IS492_11205",557,757,1124,591
"IS492_11210",1040,3291,876,2537
"IS492_11215",1592,4220,1921,4065
"IS492_11220",5680,15499,7741,18129
"IS492_11225",667,1175,780,1222
"IS492_11230",1141,3181,770,2234
"IS492_11235",130,348,121,246
"IS492_11240",269,743,248,594
"IS492_11245",17,59,41,35
"IS492_11250",55,167,67,154
"IS492_11255",155,272,158,267
"IS492_11260",27,65,28,49
"IS492_11265",788,1845,808,1795
"IS492_11270",3281,8522,3301,8412
"IS492_11275",379,1367,593,959
"IS492_11280",782,3305,1044,2134
"IS492_11285",1101,3469,1066,3070
"IS492_11290",500,1259,446,1114
"IS492_11295",261,767,246,645
"IS492_11300",810,2318,691,1904
"IS492_11305",321,681,301,629
"IS492_11310",214,625,227,484
"IS492_11315",43,149,52,144
"IS492_11320",285,630,163,469
"IS492_11325",216,438,207,398
"IS492_11330",281,541,379,680
"IS492_11335",1206,3257,1464,3060
"IS492_11340",3094,11058,3754,8660
"IS492_11345",75,189,61,155
"IS492_11355",715,1499,618,1570
"IS492_11360",253,552,239,525
"IS492_11365",158,668,120,453
"IS492_11370",8726,16154,10549,22579
"IS492_11375",4106,14789,5162,13552
"IS492_11380",2701,6818,3367,7785
"IS492_11385",470,1153,527,1093
"IS492_11390",958,2285,888,2134
"IS492_11395",1495,4502,1384,4106
"IS492_11400",711,2021,736,1845
"IS492_11405",2813,7100,3180,7198
"IS492_11410",1716,3922,2354,4555
"IS492_11415",3452,7290,4486,7355
"IS492_11420",5459,14867,5476,13959
"IS492_11425",12351,24162,13974,27585
"IS492_11430",4323,11086,4689,11179
"IS492_11435",102,283,87,235
"IS492_11440",213,424,213,380
"IS492_11445",7,20,11,18
"IS492_11450",102,324,91,219
"IS492_11455",148,362,107,270
"IS492_11460",9,16,1,6
"IS492_11465",40,139,37,81
"IS492_11470",277,836,311,751
"IS492_11475",505,1513,506,1354
"IS492_11480",317,946,217,887
"IS492_11485",288,656,202,476
"IS492_11490",1143,2881,747,2281
"IS492_11495",12,16,8,27
"IS492_11500",9,9,7,15
"IS492_11505",1514,4016,1197,3406
"IS492_11510",467,1003,391,956
"IS492_11515",339,891,313,891
"IS492_11520",279,618,223,554
"IS492_11525",720,557,605,627
"IS492_11530",1267,1020,1249,1270
"IS492_11535",885,1346,901,1652
"IS492_11540",344,660,349,769
"IS492_11545",1137,1718,1086,1839
"IS492_11550",228,352,234,383
"IS492_11555",127,119,100,132
"IS492_11560",1205,2006,990,1910
"IS492_11565",421,756,369,730
"IS492_11570",748,1048,625,1155
"IS492_11575",635,667,671,778
"IS492_11580",1626,4733,1064,3777
"IS492_11585",391,814,387,810
"IS492_11590",90,133,84,137
"IS492_11595",246,478,280,563
"IS492_11600",582,1340,568,1656
"IS492_11605",25,45,26,62
"IS492_11610",90,213,76,187
"IS492_11615",28,80,22,51
"IS492_11620",18,36,18,44
"IS492_11625",210,666,212,593
"IS492_11630",79,229,50,171
"IS492_11635",128,434,126,346
"IS492_11640",11,38,19,33
"IS492_11645",287,823,214,772
"IS492_11650",14,32,14,25
"IS492_11655",253,689,265,591
"IS492_11660",26,66,21,75
"IS492_11665",59,162,63,162
"IS492_11670",64,232,50,167
"IS492_11675",27,66,15,34
"IS492_11680",30,94,21,65
"IS492_11685",14,47,17,43
"IS492_11690",2,8,8,4
"IS492_11695",30,57,25,26
"IS492_11700",18,58,10,43
"IS492_11705",170,478,147,363
"IS492_11710",116,294,97,230
"IS492_11715",224,565,181,399
"IS492_11720",9,35,7,16
"IS492_11725",11,25,9,32
"IS492_11730",24,61,32,67
"IS492_11735",48,171,38,124
"IS492_11740",38,86,43,86
"IS492_11745",41,97,38,83
"IS492_11750",277,697,281,767
"IS492_11755",6862,18647,5764,16751
"IS492_11765",61,159,27,134
"IS492_11770",152,585,102,439
"IS492_11775",29,96,33,105
"IS492_11780",55,189,57,199
"IS492_11785",13,55,16,43
"IS492_11790",69,264,104,287
"IS492_11795",56,128,54,92
"IS492_11800",92,265,84,207
"IS492_11805",51,110,40,90
"IS492_11810",31,52,34,62
"IS492_11815",33,72,23,58
"IS492_11820",47,106,38,120
"IS492_11825",30,46,22,48
"IS492_11830",24,64,16,53
"IS492_11835",44,120,40,129
"IS492_11840",80,174,65,138
"IS492_11845",248,413,224,434
"IS492_11850",19,29,19,19
"IS492_11855",89,234,98,195
"IS492_11860",255,727,204,558
"IS492_11865",293,732,214,653
"IS492_11870",74,202,89,185
"IS492_11875",64,169,48,118
"IS492_11880",7,14,6,12
"IS492_11885",106,225,76,212
"IS492_11890",31,79,43,70
"IS492_11895",44,143,59,128
"IS492_11900",124,308,81,276
"IS492_11905",118,202,94,195
"IS492_11910",218,544,222,582
"IS492_11915",33,67,35,83
"IS492_11920",247,789,286,713
"IS492_11925",6,23,7,29
"IS492_11930",32,66,24,64
"IS492_11935",10,38,18,32
"IS492_11940",22,64,32,58
"IS492_11945",3,16,3,11
"IS492_11950",51,126,49,103
"IS492_11955",6,14,5,12
"IS492_11960",12,37,13,33
"IS492_11965",19,55,22,73
"IS492_11970",18,42,12,39
"IS492_11975",15,33,15,36
"IS492_11980",20,81,19,68
"IS492_11985",23,60,14,37
"IS492_11990",21,45,10,40
"IS492_11995",3,10,3,5
"IS492_12000",56,177,42,124
"IS492_12005",72,175,49,132
"IS492_12010",500,1201,511,1273
"IS492_12015",65,160,47,125
"IS492_12020",42,74,27,78
"IS492_12025",10,25,2,18
"IS492_12030",325,822,276,774
"IS492_12035",545,1204,530,1428
"IS492_12040",132,341,80,204
"IS492_12045",139,317,118,217
"IS492_12050",122,407,121,315
"IS492_12055",145,342,164,336
"IS492_12060",101,195,139,195
"IS492_12065",210,466,265,438
"IS492_12070",257,702,194,595
"IS492_12075",633,1876,459,1468
"IS492_12080",2763,6278,2258,5196
"IS492_12085",981,3200,1003,2753
"IS492_12090",52,165,32,118
"IS492_12095",293,842,311,710
"IS492_12100",1115,3207,1432,3515
"IS492_12105",514,1664,349,1334
"IS492_12110",2751,9096,2366,7194
"IS492_12115",4025,13394,5493,13262
"IS492_12120",1336,4284,1512,4314
"IS492_12125",3499,7076,4257,8570
"IS492_12130",76,160,80,201
"IS492_12135",63,129,85,150
"IS492_12140",543,1062,434,999
"IS492_12145",31,64,22,40
"IS492_12150",20,46,13,24
"IS492_12155",789,1891,798,1909
"IS492_12160",87,213,93,197
"IS492_12165",254,712,184,552
"IS492_12170",62,263,63,186
"IS492_12175",216,780,236,665
"IS492_12180",196,487,289,478
"IS492_12185",84,193,111,183
"IS492_12190",56,122,59,110
"IS492_12195",13,28,15,36
"IS492_12200",94,123,110,148
"IS492_12205",65,130,88,100
"IS492_12210",91,176,131,179
"IS492_12215",113,251,153,287
"IS492_12220",135,281,177,302
"IS492_12225",32,62,39,87
"IS492_12230",34,78,15,52
"IS492_12235",103,232,46,112
"IS492_12240",237,583,243,428
"IS492_12245",105,288,133,286
"IS492_12250",542,1264,617,1546
"IS492_12255",1245,2334,1430,2850
"IS492_12260",483,1054,431,830
"IS492_12265",814,2313,1073,2099
"IS492_12270",234,669,317,768
"IS492_12275",81,256,64,197
"IS492_12280",238,570,154,455
"IS492_12285",491,1203,524,1100
"IS492_12290",361,840,374,767
"IS492_12295",243,590,257,643
"IS492_12300",281,1007,317,1008
"IS492_12305",236,633,225,578
"IS492_12310",365,1068,368,1080
"IS492_12315",50,108,48,114
"IS492_12320",233,531,295,460
