Replicate,Genotype,Growth
1,WT,biofilm
2,WT,biofilm
3,WT,biofilm
1,DlasR,biofilm
2,DlasR,biofilm
3,DlasR,biofilm
1,DlasR,planktonic
2,DlasR,planktonic
3,DlasR,planktonic
1,DphoB,biofilm
2,DphoB,biofilm
3,DphoB,biofilm
1,DphoB_DlasR,biofilm
2,DphoB_DlasR,biofilm
3,DphoB_DlasR,biofilm
1,DphoB_DlasR,planktonic
2,DphoB_DlasR,planktonic
3,DphoB_DlasR,planktonic
1,DpohB,planktonic
2,DpohB,planktonic
3,DpohB,planktonic
1,DrhlR,biofilm
2,DrhlR,biofilm
3,DrhlR,biofilm
1,DrhlR_DlasR,biofilm
2,DrhlR_DlasR,biofilm
3,DrhlR_DlasR,biofilm
1,DrhlR_DlasR,planktonic
2,DrhlR_DlasR,planktonic
3,DrhlR_DlasR,planktonic
1,DrhlR,planktonic
2,DrhlR,planktonic
3,DrhlR,planktonic
1,WT,planktonic
2,WT,planktonic
3,WT,planktonic